Site,Event,Start.Date,End.Date
Pick,1,9/13/2022,9/14/2022
Deans,1,8/16/2022,8/17/2022
Deans,2,8/30/2022,8/31/2022
Catfish,1,9/6/2022,9/7/2022
Catfish,2,9/18/2022,9/19/2022
Sister3,1,8/22/2022,8/23/2022
