Number,Name,Description,GeometryType,Latitude,Longitude,Altitude
111,Picks inlet,,Point,33.8862417,-83.2953806,190.005
85,Catfish inlet 2,,Point,33.88647163,-83.35366828,170.285
84,Catfish inlet 1,,Point,33.88633184,-83.35343194,168.561
58,Deans inlet 2,,Point,33.88450631,-83.3609581,171.563
57,Deans inlet 1,,Point,33.88436338,-83.36045116,173.099
31,Sister inlet,,Point,33.88888611,-83.36243152,188.711
