"","uid","domainID","siteID","namedLocation","collectDate","parentSampleID","waterSampleID","waterSampleCode","sdgFieldDataQF","publicationDate","release","date_time","time"
"328","242817de-e825-469d-be7e-c60b635addc6","D05","CRAM","CRAM.AOS.buoy.c1",2019-06-04 17:20:00,"CRAM.C1.20190604","CRAM.C1.20190604.2",NA,NA,"20221128T173114Z","RELEASE-2023",2019-06-04 12:20:00,2023-04-17 12:20:00
"329","8777e350-4d96-4f02-bc5a-179e330ee08d","D05","CRAM","CRAM.AOS.buoy.c1",2019-06-04 17:20:00,"CRAM.C1.20190604","CRAM.C1.20190604",NA,NA,"20221128T173114Z","RELEASE-2023",2019-06-04 12:20:00,2023-04-17 12:20:00
"330","99bb6745-faf9-4ef1-abde-9d90c5419ece","D05","CRAM","CRAM.AOS.buoy.c1",2019-06-04 17:20:00,"CRAM.C1.20190604","CRAM.C1.20190604.3",NA,NA,"20221128T173114Z","RELEASE-2023",2019-06-04 12:20:00,2023-04-17 12:20:00
"331","848a6fdc-309e-4e84-ab0c-bdb961dd3926","D05","CRAM","CRAM.AOS.buoy.c2",2019-06-04 17:42:00,"CRAM.C2.20190604","CRAM.C2.20190604",NA,NA,"20221128T173114Z","RELEASE-2023",2019-06-04 12:42:00,2023-04-17 12:42:00
"332","e70afe11-8d81-4db4-9d0b-cfebf749c839","D05","CRAM","CRAM.AOS.buoy.c2",2019-06-04 17:42:00,"CRAM.C2.20190604","CRAM.C2.20190604.3",NA,NA,"20221128T173114Z","RELEASE-2023",2019-06-04 12:42:00,2023-04-17 12:42:00
"333","4e1e97ca-ce54-4ab2-aa03-88dfe2b8ea35","D05","CRAM","CRAM.AOS.buoy.c2",2019-06-04 17:42:00,"CRAM.C2.20190604","CRAM.C2.20190604.2",NA,NA,"20221128T173114Z","RELEASE-2023",2019-06-04 12:42:00,2023-04-17 12:42:00
"334","4bf3df48-f41f-4112-8ebe-99941c933f39","D05","CRAM","CRAM.AOS.buoy.c1",2019-07-09 14:55:00,"CRAM.C1.20190709","CRAM.C1.20190709.2",NA,NA,"20221128T165115Z","RELEASE-2023",2019-07-09 09:55:00,2023-04-17 09:55:00
"335","b7948ca6-a695-49af-a20b-a8d95408f962","D05","CRAM","CRAM.AOS.buoy.c1",2019-07-09 14:55:00,"CRAM.C1.20190709","CRAM.C1.20190709.3",NA,NA,"20221128T165115Z","RELEASE-2023",2019-07-09 09:55:00,2023-04-17 09:55:00
"336","cbb3de26-422c-461b-8e3c-18e2edf9eeb1","D05","CRAM","CRAM.AOS.buoy.c1",2019-07-09 14:55:00,"CRAM.C1.20190709","CRAM.C1.20190709",NA,NA,"20221128T165115Z","RELEASE-2023",2019-07-09 09:55:00,2023-04-17 09:55:00
"337","6391fceb-de2c-4fc4-b6fc-4231abfd830e","D05","CRAM","CRAM.AOS.buoy.c2",2019-07-09 15:20:00,"CRAM.C2.20190709","CRAM.C2.20190709.3",NA,NA,"20221128T165115Z","RELEASE-2023",2019-07-09 10:20:00,2023-04-17 10:20:00
"338","87182510-b484-4a30-b657-9c4908b210d5","D05","CRAM","CRAM.AOS.buoy.c2",2019-07-09 15:20:00,"CRAM.C2.20190709","CRAM.C2.20190709.2",NA,NA,"20221128T165115Z","RELEASE-2023",2019-07-09 10:20:00,2023-04-17 10:20:00
"339","6ef96770-0a10-47d8-bf8f-b631e49d1e20","D05","CRAM","CRAM.AOS.buoy.c2",2019-07-09 15:20:00,"CRAM.C2.20190709","CRAM.C2.20190709",NA,NA,"20221128T165115Z","RELEASE-2023",2019-07-09 10:20:00,2023-04-17 10:20:00
"340","886ee5e0-1bc5-4a23-b329-de421d78470c","D05","CRAM","CRAM.AOS.buoy.c1",2019-08-06 15:46:00,"CRAM.C1.20190806","CRAM.C1.20190806",NA,NA,"20221128T182320Z","RELEASE-2023",2019-08-06 10:46:00,2023-04-17 10:46:00
"341","2bcaae4f-63a2-4ef3-a404-05f64854f409","D05","CRAM","CRAM.AOS.buoy.c2",2019-08-06 16:06:00,"CRAM.C2.20190806","CRAM.C2.20190806",NA,NA,"20221128T182320Z","RELEASE-2023",2019-08-06 11:06:00,2023-04-17 11:06:00
"342","5d1970a0-d42b-46f9-8323-6765f907b947","D05","CRAM","CRAM.AOS.buoy.c1",2019-09-09 14:53:00,"CRAM.C1.20190909","CRAM.C1.20190909.2",NA,NA,"20221128T171126Z","RELEASE-2023",2019-09-09 09:53:00,2023-04-17 09:53:00
"343","83f87c82-4cba-4ced-a427-643b84b3e29d","D05","CRAM","CRAM.AOS.buoy.c1",2019-09-09 14:53:00,"CRAM.C1.20190909","CRAM.C1.20190909.3",NA,NA,"20221128T171126Z","RELEASE-2023",2019-09-09 09:53:00,2023-04-17 09:53:00
"344","7bc48447-eb4b-423f-bf1e-f7eb8e837e4e","D05","CRAM","CRAM.AOS.buoy.c1",2019-09-09 14:53:00,"CRAM.C1.20190909","CRAM.C1.20190909",NA,NA,"20221128T171126Z","RELEASE-2023",2019-09-09 09:53:00,2023-04-17 09:53:00
"345","dfd2a680-a479-46f9-967b-ba34672f26ff","D05","CRAM","CRAM.AOS.buoy.c2",2019-09-09 15:43:00,"CRAM.C2.20190909","CRAM.C2.20190909.3",NA,NA,"20221128T171126Z","RELEASE-2023",2019-09-09 10:43:00,2023-04-17 10:43:00
"346","07b82623-0a1f-4d1c-9b7e-21241fa0315e","D05","CRAM","CRAM.AOS.buoy.c2",2019-09-09 15:43:00,"CRAM.C2.20190909","CRAM.C2.20190909",NA,NA,"20221128T171126Z","RELEASE-2023",2019-09-09 10:43:00,2023-04-17 10:43:00
"347","f8e5232f-a0da-406c-ad7a-e37900a8c050","D05","CRAM","CRAM.AOS.buoy.c2",2019-09-09 15:43:00,"CRAM.C2.20190909","CRAM.C2.20190909.2",NA,NA,"20221128T171126Z","RELEASE-2023",2019-09-09 10:43:00,2023-04-17 10:43:00
"348","4902f020-f596-4487-9a8c-60af68c2531d","D05","CRAM","CRAM.AOS.buoy.c1",2019-10-01 14:53:00,"CRAM.C1.20191001","CRAM.C1.20191001.3",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-01 09:53:00,2023-04-17 09:53:00
"349","8827330a-0ea1-45fd-8341-575f16fce569","D05","CRAM","CRAM.AOS.buoy.c1",2019-10-01 14:53:00,"CRAM.C1.20191001","CRAM.C1.20191001",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-01 09:53:00,2023-04-17 09:53:00
"350","bd8e0c16-5614-4bf5-bd91-598fbf7e7aaf","D05","CRAM","CRAM.AOS.buoy.c1",2019-10-01 14:53:00,"CRAM.C1.20191001","CRAM.C1.20191001.2",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-01 09:53:00,2023-04-17 09:53:00
"351","c6158947-16d0-4594-b2f8-4d84a7c6127c","D05","CRAM","CRAM.AOS.buoy.c2",2019-10-01 15:06:00,"CRAM.C2.20191001","CRAM.C2.20191001.2",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-01 10:06:00,2023-04-17 10:06:00
"352","5d96588d-6696-4cd6-a4e6-1de8a83a69d1","D05","CRAM","CRAM.AOS.buoy.c2",2019-10-01 15:06:00,"CRAM.C2.20191001","CRAM.C2.20191001",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-01 10:06:00,2023-04-17 10:06:00
"353","b962b350-3324-422c-a445-bd3906c3ed76","D05","CRAM","CRAM.AOS.buoy.c2",2019-10-01 15:06:00,"CRAM.C2.20191001","CRAM.C2.20191001.3",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-01 10:06:00,2023-04-17 10:06:00
"354","6a83542e-4b33-4037-bf58-15ef847ccc9b","D05","CRAM","CRAM.AOS.buoy.c1",2019-10-15 14:41:00,"CRAM.C1.20191015","CRAM.C1.20191015.2",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-15 09:41:00,2023-04-17 09:41:00
"355","c158d28e-ec17-487c-adcb-3b4d60db85e3","D05","CRAM","CRAM.AOS.buoy.c1",2019-10-15 14:41:00,"CRAM.C1.20191015","CRAM.C1.20191015",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-15 09:41:00,2023-04-17 09:41:00
"356","0cdee254-2490-4a6f-a464-d89d2c4b01b7","D05","CRAM","CRAM.AOS.buoy.c1",2019-10-15 14:41:00,"CRAM.C1.20191015","CRAM.C1.20191015.3",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-15 09:41:00,2023-04-17 09:41:00
"357","1809c54e-7ad9-47b3-9c99-c7069396bf15","D05","CRAM","CRAM.AOS.buoy.c2",2019-10-15 15:10:00,"CRAM.C2.20191015","CRAM.C2.20191015",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-15 10:10:00,2023-04-17 10:10:00
"358","499e137e-6582-4f71-b626-d735fddf9661","D05","CRAM","CRAM.AOS.buoy.c2",2019-10-16 03:10:00,"CRAM.C2.20191015","CRAM.C2.20191015.2",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-15 22:10:00,2023-04-17 22:10:00
"359","ad1c3bf0-385a-43de-88b5-6cea2e0665e3","D05","CRAM","CRAM.AOS.buoy.c2",2019-10-16 03:10:00,"CRAM.C2.20191015","CRAM.C2.20191015.3",NA,NA,"20221128T174600Z","RELEASE-2023",2019-10-15 22:10:00,2023-04-17 22:10:00
"360","c362b2ac-aaa3-4d65-afa6-f1074bfd8300","D05","CRAM","CRAM.AOS.buoy.c0",2019-11-05 15:37:00,"CRAM.C0.20191105","CRAM.C0.20191105",NA,NA,"20221128T172828Z","RELEASE-2023",2019-11-05 09:37:00,2023-04-17 09:37:00
"361","b45c8734-6c31-4af7-8d5d-e2376e566f75","D05","CRAM","CRAM.AOS.buoy.c0",2020-01-06 17:24:00,"CRAM.C0.20200106","CRAM.C0.20200106",NA,NA,"20221128T205250Z","RELEASE-2023",2020-01-06 11:24:00,2023-04-17 11:24:00
"362","60da5280-b407-4d47-8a90-1ad37c48756e","D05","CRAM","CRAM.AOS.buoy.c0",2020-02-03 16:47:00,"CRAM.C0.20200203","CRAM.C0.20200203",NA,NA,"20221128T211359Z","RELEASE-2023",2020-02-03 10:47:00,2023-04-17 10:47:00
"363","d7070b50-2eec-47cd-94c1-2c369fc718c5","D05","CRAM","CRAM.AOS.buoy.c0",2020-03-02 15:55:00,"CRAM.C0.20200302","CRAM.C0.20200302",NA,NA,"20221128T212947Z","RELEASE-2023",2020-03-02 09:55:00,2023-04-17 09:55:00
"364","f9566321-77db-45e2-a2c5-6dfaa981e085","D05","CRAM","CRAM.AOS.buoy.c1",2020-07-06 13:35:00,"CRAM.C1.20200706","CRAM.C1.20200706.2",NA,NA,"20221128T210736Z","RELEASE-2023",2020-07-06 08:35:00,2023-04-17 08:35:00
"365","1eec6a27-31a3-4aab-9f74-d3f4d469ce9b","D05","CRAM","CRAM.AOS.buoy.c1",2020-07-06 13:35:00,"CRAM.C1.20200706","CRAM.C1.20200706",NA,NA,"20221128T210736Z","RELEASE-2023",2020-07-06 08:35:00,2023-04-17 08:35:00
"366","d7512ca6-9417-41d2-b132-61e18fd2ce66","D05","CRAM","CRAM.AOS.buoy.c1",2020-07-06 13:35:00,"CRAM.C1.20200706","CRAM.C1.20200706.3",NA,NA,"20221128T210736Z","RELEASE-2023",2020-07-06 08:35:00,2023-04-17 08:35:00
"367","3de7ee6c-c9ee-4af3-8d83-47de73ce269c","D05","CRAM","CRAM.AOS.buoy.c2",2020-07-06 13:51:00,"CRAM.C2.20200706","CRAM.C2.20200706.3",NA,NA,"20221128T210736Z","RELEASE-2023",2020-07-06 08:51:00,2023-04-17 08:51:00
"368","78df2dae-25f7-4cbf-a6b1-05acf0f7e9d6","D05","CRAM","CRAM.AOS.buoy.c2",2020-07-06 13:51:00,"CRAM.C2.20200706","CRAM.C2.20200706",NA,NA,"20221128T210736Z","RELEASE-2023",2020-07-06 08:51:00,2023-04-17 08:51:00
"369","d46d66f8-dc7c-4616-97c8-21fb07a4f3f3","D05","CRAM","CRAM.AOS.buoy.c2",2020-07-06 13:51:00,"CRAM.C2.20200706","CRAM.C2.20200706.2",NA,NA,"20221128T210736Z","RELEASE-2023",2020-07-06 08:51:00,2023-04-17 08:51:00
"370","5d2588ca-9f60-4835-80de-9abf32eb1e48","D05","CRAM","CRAM.AOS.buoy.c1",2020-08-04 15:41:00,"CRAM.C1.20200804","CRAM.C1.20200804.3",NA,NA,"20221128T205219Z","RELEASE-2023",2020-08-04 10:41:00,2023-04-17 10:41:00
"371","ed270c02-87ff-467f-83fe-01ace861a1c8","D05","CRAM","CRAM.AOS.buoy.c1",2020-08-04 15:41:00,"CRAM.C1.20200804","CRAM.C1.20200804.2",NA,NA,"20221128T205219Z","RELEASE-2023",2020-08-04 10:41:00,2023-04-17 10:41:00
"372","4eb21cce-a28e-4713-8001-d1bfa7cdaa09","D05","CRAM","CRAM.AOS.buoy.c1",2020-08-04 15:41:00,"CRAM.C1.20200804","CRAM.C1.20200804",NA,NA,"20221128T205219Z","RELEASE-2023",2020-08-04 10:41:00,2023-04-17 10:41:00
"373","94f61061-9334-466d-bbfb-09e03f24551e","D05","CRAM","CRAM.AOS.buoy.c2",2020-08-04 16:34:00,"CRAM.C2.20200804","CRAM.C2.20200804.2",NA,NA,"20221128T205219Z","RELEASE-2023",2020-08-04 11:34:00,2023-04-17 11:34:00
"374","0103d83e-dec2-413f-bdec-4c6a2e0c66cc","D05","CRAM","CRAM.AOS.buoy.c2",2020-08-04 16:34:00,"CRAM.C2.20200804","CRAM.C2.20200804",NA,NA,"20221128T205219Z","RELEASE-2023",2020-08-04 11:34:00,2023-04-17 11:34:00
"375","fb382f43-a6ec-4024-b55c-2aa4149e4ccc","D05","CRAM","CRAM.AOS.buoy.c2",2020-08-04 16:34:00,"CRAM.C2.20200804","CRAM.C2.20200804.3",NA,NA,"20221128T205219Z","RELEASE-2023",2020-08-04 11:34:00,2023-04-17 11:34:00
"376","3b4a1695-6a79-45c0-8f63-d066ef012cbd","D05","CRAM","CRAM.AOS.buoy.c1",2020-09-01 17:30:00,"CRAM.C1.20200901","CRAM.C1.20200901",NA,NA,"20221128T210634Z","RELEASE-2023",2020-09-01 12:30:00,2023-04-17 12:30:00
"377","d3ef9d96-e78a-445a-adc4-67473b4445fe","D05","CRAM","CRAM.AOS.buoy.c2",2020-09-01 17:41:00,"CRAM.C2.20200901","CRAM.C2.20200901",NA,NA,"20221128T210634Z","RELEASE-2023",2020-09-01 12:41:00,2023-04-17 12:41:00
"378","8c770ca8-b273-4e84-8f47-355c5c1b480f","D05","CRAM","CRAM.AOS.buoy.c1",2020-10-06 16:02:00,"CRAM.C1.20201006","CRAM.C1.20201006",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-06 11:02:00,2023-04-17 11:02:00
"379","ab3ef4e0-087d-4ff6-970c-6d895aeb4fd4","D05","CRAM","CRAM.AOS.buoy.c1",2020-10-06 16:02:00,"CRAM.C1.20201006","CRAM.C1.20201006.2",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-06 11:02:00,2023-04-17 11:02:00
"380","cb4b42cd-2cd3-4035-b456-af8f40de319f","D05","CRAM","CRAM.AOS.buoy.c1",2020-10-06 16:02:00,"CRAM.C1.20201006","CRAM.C1.20201006.3",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-06 11:02:00,2023-04-17 11:02:00
"381","6e2782bd-ec06-4029-ba26-a8d6f6818398","D05","CRAM","CRAM.AOS.buoy.c2",2020-10-06 16:20:00,"CRAM.C2.20201006","CRAM.C2.20201006.3",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-06 11:20:00,2023-04-17 11:20:00
"382","c3a7f064-c1a2-4646-81ba-89833fe0432b","D05","CRAM","CRAM.AOS.buoy.c2",2020-10-06 16:20:00,"CRAM.C2.20201006","CRAM.C2.20201006.2",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-06 11:20:00,2023-04-17 11:20:00
"383","134e4d4a-f8a3-4bde-9152-8e074c058a65","D05","CRAM","CRAM.AOS.buoy.c2",2020-10-06 16:20:00,"CRAM.C2.20201006","CRAM.C2.20201006",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-06 11:20:00,2023-04-17 11:20:00
