"total_sum","prop"
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
13.3989782291379,0.2
13.7574638544297,0.2
13.1593826729807,0.2
12.7761608981929,0.2
13.1939106159172,0.2
18.5635201202384,0.4
19.19775988538,0.4
16.1601942521066,0.4
19.6006048521093,0.4
18.2009385786163,0.4
23.1148567170623,0.6
25.814537353149,0.6
25.8104991709564,0.6
25.1091129301217,0.6
25.1296954291497,0.6
29.8438690697693,0.8
28.3558206169626,0.8
31.4542321743712,0.8
32.0333037634106,0.8
29.9456012225366,0.8
36.2866641555164,1
36.2866641555164,1
36.2866641555164,1
36.2866641555164,1
36.2866641555164,1
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
7.82491471112802,0
10.5582217172025,0.05
10.5582217172025,0.05
8.63375045782354,0.05
8.77320489690897,0.05
9.40074987279343,0.05
8.7174231212748,0.05
9.27524087761654,0.05
10.1956401755804,0.05
9.19156821416528,0.05
8.70347767736626,0.05
8.36878702356122,0.05
9.81241840079255,0.05
8.96844111162858,0.05
8.79440099546889,0.05
9.73544052659847,0.05
9.83305863395827,0.05
9.26129543370799,0.05
9.40074987279343,0.05
8.59191412609791,0.05
9.49173092503383,0.05
