"sampling","mean_YSI bottom DO mg/L","mean_YSI top DO mg/L","mean_YSI Bottom pH","mean_YSI top pH","mean_YSI bottom Temp","mean_YSI top Temp","sd_YSI bottom DO mg/L","sd_YSI top DO mg/L","sd_YSI Bottom pH","sd_YSI top pH","sd_YSI bottom Temp","sd_YSI top Temp"
"20-21 June Blue Herron",1.2,4.2,6.8,6.9,24.5,27.9,1.4,4.3,0.3,0.5,4.6,2.1
"12-13 July Blue Herron",1.1,3.2,6.5,6.7,25.8,27.8,1,2.4,0.2,0.2,2.8,0.9
