Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*C)	Button Down	Button Up	Host Connect	EOF	
2022-08-16 10:20:35	29.64	 	 	 	 	
2022-08-16 10:20:36	29.64	 	 	 	 	
2022-08-16 10:20:37	29.68	 	 	 	 	
2022-08-16 10:20:38	29.64	 	 	 	 	
2022-08-16 10:20:39	29.64	 	 	 	 	
2022-08-16 10:20:40	29.64	 	 	 	 	
2022-08-16 10:20:41	29.64	 	 	 	 	
2022-08-16 10:20:42	29.64	 	 	 	 	
2022-08-16 10:20:43	29.64	 	 	 	 	
2022-08-16 10:20:44	29.64	 	 	 	 	
2022-08-16 10:20:45	29.60	 	 	 	 	
2022-08-16 10:20:46	29.60	 	 	 	 	
2022-08-16 10:20:47	29.60	 	 	 	 	
2022-08-16 10:20:48	29.64	 	 	 	 	
2022-08-16 10:20:49	29.64	 	 	 	 	
2022-08-16 10:20:50	29.60	 	 	 	 	
2022-08-16 10:20:51	29.64	 	 	 	 	
2022-08-16 10:20:52	29.60	 	 	 	 	
2022-08-16 10:20:53	29.60	 	 	 	 	
2022-08-16 10:20:54	29.64	 	 	 	 	
2022-08-16 10:20:55	29.64	 	 	 	 	
2022-08-16 10:20:56	29.60	 	 	 	 	
2022-08-16 10:20:57	29.60	 	 	 	 	
2022-08-16 10:20:58	29.60	 	 	 	 	
2022-08-16 10:20:59	29.56	 	 	 	 	
2022-08-16 10:21:00	29.56	 	 	 	 	
2022-08-16 10:21:01	29.56	 	 	 	 	
2022-08-16 10:21:02	29.56	 	 	 	 	
2022-08-16 10:21:03	29.56	 	 	 	 	
2022-08-16 10:21:04	29.60	 	 	 	 	
2022-08-16 10:21:05	29.60	 	 	 	 	
2022-08-16 10:21:06	29.56	 	 	 	 	
2022-08-16 10:21:07	29.56	 	 	 	 	
2022-08-16 10:21:08	29.60	 	 	 	 	
2022-08-16 10:21:09	29.56	 	 	 	 	
2022-08-16 10:21:10	29.56	 	 	 	 	
2022-08-16 10:21:11	29.56	 	 	 	 	
2022-08-16 10:21:12	29.51	 	 	 	 	
2022-08-16 10:21:13	29.56	 	 	 	 	
2022-08-16 10:21:14	29.56	 	 	 	 	
2022-08-16 10:21:15	29.51	 	 	 	 	
2022-08-16 10:21:16	29.51	 	 	 	 	
2022-08-16 10:21:17	29.51	 	 	 	 	
2022-08-16 10:21:18	29.51	 	 	 	 	
2022-08-16 10:21:19	29.51	 	 	 	 	
2022-08-16 10:21:20	29.56	 	 	 	 	
2022-08-16 10:21:21	29.47	 	 	 	 	
2022-08-16 10:21:22	29.47	 	 	 	 	
2022-08-16 10:21:23	29.51	 	 	 	 	
2022-08-16 10:21:24	29.47	 	 	 	 	
2022-08-16 10:21:25	29.51	 	 	 	 	
2022-08-16 10:21:26	29.47	 	 	 	 	
2022-08-16 10:21:27	29.43	 	 	 	 	
2022-08-16 10:21:28	29.51	 	 	 	 	
2022-08-16 10:21:29	29.47	 	 	 	 	
2022-08-16 10:21:30	29.47	 	 	 	 	
2022-08-16 10:21:31	29.47	 	 	 	 	
2022-08-16 10:21:32	29.47	 	 	 	 	
2022-08-16 10:21:33	29.47	 	 	 	 	
2022-08-16 10:21:34	29.47	 	 	 	 	
2022-08-16 10:21:35	29.43	 	 	 	 	
2022-08-16 10:21:36	29.43	 	 	 	 	
