Serial Number:20725838 --,,,,,,
,,,,,,
"Date Time, GMT -0400","Temp, (*F)",Button Down,Button Up,Host Connect,Stopped,EOF
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.3, , , , , 
6/3/2022 14:20,72.3, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:20,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.15, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.3, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:21,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.38, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.15, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.3, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:22,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.15, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.15, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.15, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.15, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:23,72.23, , , , , 
6/3/2022 14:23,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.3, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.23, , , , , 
6/3/2022 14:24,72.15, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.15, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:25,72.3, , , , , 
6/3/2022 14:25,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.07, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.3, , , , , 
6/3/2022 14:26,72.15, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
6/3/2022 14:26,72.23, , , , , 
