Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	EOF	
2022-06-20 18:39:33	102.65	 	 	 	 	
2022-06-20 18:39:34	102.73	 	 	 	 	
2022-06-20 18:39:35	102.65	 	 	 	 	
2022-06-20 18:39:36	102.57	 	 	 	 	
2022-06-20 18:39:37	102.65	 	 	 	 	
2022-06-20 18:39:38	102.57	 	 	 	 	
2022-06-20 18:39:39	102.57	 	 	 	 	
2022-06-20 18:39:40	102.57	 	 	 	 	
2022-06-20 18:39:41	102.57	 	 	 	 	
2022-06-20 18:39:42	102.57	 	 	 	 	
2022-06-20 18:39:43	102.42	 	 	 	 	
2022-06-20 18:39:44	102.50	 	 	 	 	
2022-06-20 18:39:45	102.42	 	 	 	 	
2022-06-20 18:39:46	102.42	 	 	 	 	
2022-06-20 18:39:47	102.42	 	 	 	 	
2022-06-20 18:39:48	102.34	 	 	 	 	
2022-06-20 18:39:49	102.34	 	 	 	 	
2022-06-20 18:39:50	102.27	 	 	 	 	
2022-06-20 18:39:51	102.34	 	 	 	 	
2022-06-20 18:39:52	102.27	 	 	 	 	
2022-06-20 18:39:53	102.34	 	 	 	 	
2022-06-20 18:39:54	102.27	 	 	 	 	
2022-06-20 18:39:55	102.27	 	 	 	 	
2022-06-20 18:39:56	102.34	 	 	 	 	
2022-06-20 18:39:57	102.27	 	 	 	 	
2022-06-20 18:39:58	102.27	 	 	 	 	
2022-06-20 18:39:59	102.27	 	 	 	 	
2022-06-20 18:40:00	102.19	 	 	 	 	
2022-06-20 18:40:01	102.19	 	 	 	 	
2022-06-20 18:40:02	102.19	 	 	 	 	
2022-06-20 18:40:03	102.11	 	 	 	 	
2022-06-20 18:40:04	102.19	 	 	 	 	
2022-06-20 18:40:05	102.11	 	 	 	 	
2022-06-20 18:40:06	102.03	 	 	 	 	
2022-06-20 18:40:07	102.11	 	 	 	 	
2022-06-20 18:40:08	102.19	 	 	 	 	
2022-06-20 18:40:09	102.11	 	 	 	 	
2022-06-20 18:40:10	102.11	 	 	 	 	
2022-06-20 18:40:11	102.03	 	 	 	 	
2022-06-20 18:40:12	102.03	 	 	 	 	
2022-06-20 18:40:13	102.03	 	 	 	 	
2022-06-20 18:40:14	102.03	 	 	 	 	
2022-06-20 18:40:15	102.03	 	 	 	 	
2022-06-20 18:40:16	102.03	 	 	 	 	
2022-06-20 18:40:17	102.03	 	 	 	 	
2022-06-20 18:40:18	101.96	 	 	 	 	
2022-06-20 18:40:19	102.03	 	 	 	 	
2022-06-20 18:40:20	101.96	 	 	 	 	
2022-06-20 18:40:21	101.88	 	 	 	 	
2022-06-20 18:40:22	101.96	 	 	 	 	
2022-06-20 18:40:23	101.88	 	 	 	 	
2022-06-20 18:40:24	101.96	 	 	 	 	
2022-06-20 18:40:25	101.96	 	 	 	 	
2022-06-20 18:40:26	101.96	 	 	 	 	
2022-06-20 18:40:27	101.88	 	 	 	 	
2022-06-20 18:40:28	101.80	 	 	 	 	
2022-06-20 18:40:29	101.88	 	 	 	 	
2022-06-20 18:40:30	101.80	 	 	 	 	
2022-06-20 18:40:31	101.88	 	 	 	 	
2022-06-20 18:40:32	101.88	 	 	 	 	
2022-06-20 18:40:33	101.80	 	 	 	 	
2022-06-20 18:40:34	101.73	 	 	 	 	
2022-06-20 18:40:35	101.80	 	 	 	 	
2022-06-20 18:40:36	101.80	 	 	 	 	
2022-06-20 18:40:37	101.73	 	 	 	 	
2022-06-20 18:40:38	101.80	 	 	 	 	
2022-06-20 18:40:39	101.73	 	 	 	 	
2022-06-20 18:40:40	101.73	 	 	 	 	
2022-06-20 18:40:41	101.73	 	 	 	 	
2022-06-20 18:40:42	101.65	 	 	 	 	
2022-06-20 18:40:43	101.65	 	 	 	 	
2022-06-20 18:40:44	101.65	 	 	 	 	
2022-06-20 18:40:45	101.65	 	 	 	 	
2022-06-20 18:40:46	101.65	 	 	 	 	
2022-06-20 18:40:47	101.57	 	 	 	 	
2022-06-20 18:40:48	101.57	 	 	 	 	
2022-06-20 18:40:49	101.65	 	 	 	 	
