Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	EOF	
2022-06-20 14:42:34	143.73	 	 	 	 	
2022-06-20 14:42:35	143.66	 	 	 	 	
2022-06-20 14:42:36	143.66	 	 	 	 	
2022-06-20 14:42:37	143.66	 	 	 	 	
2022-06-20 14:42:38	143.73	 	 	 	 	
2022-06-20 14:42:39	143.73	 	 	 	 	
2022-06-20 14:42:40	143.66	 	 	 	 	
2022-06-20 14:42:41	143.66	 	 	 	 	
2022-06-20 14:42:42	143.66	 	 	 	 	
2022-06-20 14:42:43	143.73	 	 	 	 	
2022-06-20 14:42:44	143.73	 	 	 	 	
2022-06-20 14:42:45	143.73	 	 	 	 	
2022-06-20 14:42:46	143.73	 	 	 	 	
2022-06-20 14:42:47	143.73	 	 	 	 	
2022-06-20 14:42:48	143.81	 	 	 	 	
2022-06-20 14:42:49	143.73	 	 	 	 	
2022-06-20 14:42:50	143.73	 	 	 	 	
2022-06-20 14:42:51	143.73	 	 	 	 	
2022-06-20 14:42:52	143.66	 	 	 	 	
2022-06-20 14:42:53	143.73	 	 	 	 	
2022-06-20 14:42:54	143.73	 	 	 	 	
2022-06-20 14:42:55	143.73	 	 	 	 	
2022-06-20 14:42:56	143.73	 	 	 	 	
2022-06-20 14:42:57	143.66	 	 	 	 	
2022-06-20 14:42:58	143.81	 	 	 	 	
2022-06-20 14:42:59	143.73	 	 	 	 	
2022-06-20 14:43:00	143.81	 	 	 	 	
2022-06-20 14:43:01	143.73	 	 	 	 	
2022-06-20 14:43:02	143.73	 	 	 	 	
2022-06-20 14:43:03	143.81	 	 	 	 	
2022-06-20 14:43:04	143.73	 	 	 	 	
2022-06-20 14:43:05	143.81	 	 	 	 	
2022-06-20 14:43:06	143.73	 	 	 	 	
2022-06-20 14:43:07	143.73	 	 	 	 	
2022-06-20 14:43:08	143.73	 	 	 	 	
2022-06-20 14:43:09	143.73	 	 	 	 	
2022-06-20 14:43:10	143.73	 	 	 	 	
2022-06-20 14:43:11	143.73	 	 	 	 	
2022-06-20 14:43:12	143.81	 	 	 	 	
2022-06-20 14:43:13	143.81	 	 	 	 	
2022-06-20 14:43:14	143.73	 	 	 	 	
2022-06-20 14:43:15	143.81	 	 	 	 	
2022-06-20 14:43:16	143.73	 	 	 	 	
2022-06-20 14:43:17	143.73	 	 	 	 	
2022-06-20 14:43:18	143.81	 	 	 	 	
2022-06-20 14:43:19	143.81	 	 	 	 	
2022-06-20 14:43:20	143.81	 	 	 	 	
2022-06-20 14:43:21	143.81	 	 	 	 	
2022-06-20 14:43:22	143.81	 	 	 	 	
2022-06-20 14:43:23	143.81	 	 	 	 	
2022-06-20 14:43:24	143.81	 	 	 	 	
2022-06-20 14:43:25	143.73	 	 	 	 	
2022-06-20 14:43:26	143.81	 	 	 	 	
2022-06-20 14:43:27	143.81	 	 	 	 	
2022-06-20 14:43:28	143.81	 	 	 	 	
2022-06-20 14:43:29	143.73	 	 	 	 	
2022-06-20 14:43:30	143.81	 	 	 	 	
2022-06-20 14:43:31	143.81	 	 	 	 	
2022-06-20 14:43:32	143.81	 	 	 	 	
2022-06-20 14:43:33	143.81	 	 	 	 	
2022-06-20 14:43:34	143.81	 	 	 	 	
2022-06-20 14:43:35	143.81	 	 	 	 	
2022-06-20 14:43:36	143.73	 	 	 	 	
2022-06-20 14:43:37	143.73	 	 	 	 	
2022-06-20 14:43:38	143.81	 	 	 	 	
2022-06-20 14:43:39	143.81	 	 	 	 	
2022-06-20 14:43:40	143.81	 	 	 	 	
2022-06-20 14:43:41	143.81	 	 	 	 	
2022-06-20 14:43:42	143.81	 	 	 	 	
2022-06-20 14:43:43	143.89	 	 	 	 	
2022-06-20 14:43:44	143.81	 	 	 	 	
2022-06-20 14:43:45	143.81	 	 	 	 	
2022-06-20 14:43:46	143.81	 	 	 	 	
2022-06-20 14:43:47	143.81	 	 	 	 	
2022-06-20 14:43:48	143.81	 	 	 	 	
2022-06-20 14:43:49	143.81	 	 	 	 	
2022-06-20 14:43:50	143.81	 	 	 	 	
2022-06-20 14:43:51	143.81	 	 	 	 	
2022-06-20 14:43:52	143.81	 	 	 	 	
2022-06-20 14:43:53	143.89	 	 	 	 	
2022-06-20 14:43:54	143.81	 	 	 	 	
2022-06-20 14:43:55	143.81	 	 	 	 	
2022-06-20 14:43:56	143.73	 	 	 	 	
2022-06-20 14:43:57	143.81	 	 	 	 	
2022-06-20 14:43:58	143.89	 	 	 	 	
2022-06-20 14:43:59	143.81	 	 	 	 	
2022-06-20 14:44:00	143.81	 	 	 	 	
2022-06-20 14:44:01	143.81	 	 	 	 	
2022-06-20 14:44:02	143.81	 	 	 	 	
2022-06-20 14:44:03	143.81	 	 	 	 	
2022-06-20 14:44:04	143.81	 	 	 	 	
2022-06-20 14:44:05	143.81	 	 	 	 	
2022-06-20 14:44:06	143.81	 	 	 	 	
2022-06-20 14:44:07	143.89	 	 	 	 	
2022-06-20 14:44:08	143.89	 	 	 	 	
2022-06-20 14:44:09	143.89	 	 	 	 	
2022-06-20 14:44:10	143.81	 	 	 	 	
2022-06-20 14:44:11	143.81	 	 	 	 	
2022-06-20 14:44:12	143.81	 	 	 	 	
2022-06-20 14:44:13	143.89	 	 	 	 	
2022-06-20 14:44:14	143.89	 	 	 	 	
2022-06-20 14:44:15	143.73	 	 	 	 	
2022-06-20 14:44:16	143.81	 	 	 	 	
2022-06-20 14:44:17	143.81	 	 	 	 	
2022-06-20 14:44:18	143.81	 	 	 	 	
2022-06-20 14:44:19	143.81	 	 	 	 	
2022-06-20 14:44:20	143.81	 	 	 	 	
2022-06-20 14:44:21	143.73	 	 	 	 	
2022-06-20 14:44:22	143.81	 	 	 	 	
2022-06-20 14:44:23	143.81	 	 	 	 	
2022-06-20 14:44:24	143.81	 	 	 	 	
2022-06-20 14:44:25	143.81	 	 	 	 	
2022-06-20 14:44:26	143.73	 	 	 	 	
2022-06-20 14:44:27	143.73	 	 	 	 	
2022-06-20 14:44:28	143.81	 	 	 	 	
2022-06-20 14:44:29	143.81	 	 	 	 	
2022-06-20 14:44:30	143.81	 	 	 	 	
2022-06-20 14:44:31	143.81	 	 	 	 	
2022-06-20 14:44:32	143.81	 	 	 	 	
2022-06-20 14:44:33	143.81	 	 	 	 	
2022-06-20 14:44:34	143.81	 	 	 	 	
2022-06-20 14:44:35	143.73	 	 	 	 	
2022-06-20 14:44:36	143.73	 	 	 	 	
2022-06-20 14:44:37	143.73	 	 	 	 	
2022-06-20 14:44:38	143.73	 	 	 	 	
2022-06-20 14:44:39	143.73	 	 	 	 	
2022-06-20 14:44:40	143.73	 	 	 	 	
2022-06-20 14:44:41	143.73	 	 	 	 	
2022-06-20 14:44:42	143.81	 	 	 	 	
2022-06-20 14:44:43	143.81	 	 	 	 	
2022-06-20 14:44:44	143.81	 	 	 	 	
2022-06-20 14:44:45	143.73	 	 	 	 	
2022-06-20 14:44:46	143.73	 	 	 	 	
2022-06-20 14:44:47	143.81	 	 	 	 	
2022-06-20 14:44:48	143.66	 	 	 	 	
2022-06-20 14:44:49	143.66	 	 	 	 	
2022-06-20 14:44:50	143.66	 	 	 	 	
2022-06-20 14:44:51	143.81	 	 	 	 	
2022-06-20 14:44:52	143.73	 	 	 	 	
2022-06-20 14:44:53	143.73	 	 	 	 	
2022-06-20 14:44:54	143.73	 	 	 	 	
2022-06-20 14:44:55	143.73	 	 	 	 	
2022-06-20 14:44:56	143.66	 	 	 	 	
2022-06-20 14:44:57	143.66	 	 	 	 	
2022-06-20 14:44:58	143.66	 	 	 	 	
2022-06-20 14:44:59	143.66	 	 	 	 	
2022-06-20 14:45:00	143.66	 	 	 	 	
2022-06-20 14:45:01	143.58	 	 	 	 	
2022-06-20 14:45:02	143.58	 	 	 	 	
2022-06-20 14:45:03	143.50	 	 	 	 	
2022-06-20 14:45:04	143.42	 	 	 	 	
2022-06-20 14:45:05	143.50	 	 	 	 	
2022-06-20 14:45:06	143.42	 	 	 	 	
2022-06-20 14:45:07	143.42	 	 	 	 	
2022-06-20 14:45:08	143.35	 	 	 	 	
2022-06-20 14:45:09	143.35	 	 	 	 	
2022-06-20 14:45:10	143.27	 	 	 	 	
2022-06-20 14:45:11	143.35	 	 	 	 	
2022-06-20 14:45:12	143.19	 	 	 	 	
2022-06-20 14:45:13	143.19	 	 	 	 	
2022-06-20 14:45:14	143.19	 	 	 	 	
2022-06-20 14:45:15	143.19	 	 	 	 	
2022-06-20 14:45:16	143.04	 	 	 	 	
2022-06-20 14:45:17	143.04	 	 	 	 	
2022-06-20 14:45:18	143.04	 	 	 	 	
2022-06-20 14:45:19	143.12	 	 	 	 	
2022-06-20 14:45:20	142.96	 	 	 	 	
2022-06-20 14:45:21	143.04	 	 	 	 	
2022-06-20 14:45:22	142.96	 	 	 	 	
2022-06-20 14:45:23	142.88	 	 	 	 	
2022-06-20 14:45:24	142.88	 	 	 	 	
