"","site","date","period","flux_2.5","flux_97.5","mean_flux","avg_time"
"1","Deans","2022-08-16","0~1",0.0376392281175352,1.62945734848782,0.584665916284112,1.6517
"2","Deans","2022-08-16","1~2",1.5782675108087,8.84905680238906,5.02912634059756,2.37434444444444
"3","Deans","2022-08-16","2~3",1.17786099508898,9.14973698027043,4.34103965632549,3.17881111111111
"4","Deans","2022-08-16","3~4",0.398684601657778,3.67790300128407,1.72826115154192,2.86303333333333
"5","Deans","2022-08-16","4~5",1.50127809582505,21.7388608048796,8.92655351734788,2.88555555555556
"6","Deans","2022-08-16","5~6",0.687813116993728,3.65333302270852,1.85244732335162,3.14204166666667
"7","Deans","2022-08-16","6~7",1.2203787346778,10.8516895744024,5.09511494225161,3.098625
"8","Deans","2022-08-16","7~8",1.76140134727001,6.48656984329503,3.80651720358384,4.62021111111111
