"site","date","period","sum_flux"
"Deans","2022-08-16","4~5",2.98906459073522
"Deans","2022-08-16","5~6",2.07343226706808
"Deans","2022-08-16","6~7",3.08132481417237
"Deans","2022-08-16","7~8",1.76140134727001
"Deans","2022-08-16","0~1",1.144095529125
"Deans","2022-08-16","1~2",3.61819036622129
"Deans","2022-08-16","2~3",5.23105723316424
"Deans","2022-08-16","3~4",0.752457810948423
"Deans","2022-08-16","4~5",15.9620343331574
"Deans","2022-08-16","5~6",1.88738418769781
"Deans","2022-08-16","6~7",1.07705869285695
"Deans","2022-08-16","7~8",6.48656984329503
"Deans","2022-08-16","0~1",0.254631002212514
"Deans","2022-08-16","1~2",2.85540563174096
"Deans","2022-08-16","2~3",1.36717824011781
"Deans","2022-08-16","3~4",1.90085444074193
"Deans","2022-08-16","4~5",8.53285996465094
"Deans","2022-08-16","5~6",1.99984043192216
"Deans","2022-08-16","6~7",2.00348311355098
"Deans","2022-08-16","7~8",1.85826781550649
"Deans","2022-08-16","0~1",0.797938986372097
"Deans","2022-08-16","1~2",4.07899621018601
"Deans","2022-08-16","2~3",5.84533901915163
"Deans","2022-08-16","3~4",1.82366047718621
"Deans","2022-08-16","4~5",11.689318907651
"Deans","2022-08-16","5~6",1.45560598627397
"Deans","2022-08-16","6~7",4.15867677642236
"Deans","2022-08-16","7~8",4.63731098252966
"Deans","2022-08-16","0~1",0.029990091686801
"Deans","2022-08-16","1~2",5.48351863618757
"Deans","2022-08-16","2~3",5.76981945722317
"Deans","2022-08-16","3~4",1.44695764412268
"Deans","2022-08-16","4~5",9.09164244506758
"Deans","2022-08-16","5~6",1.50885944191479
"Deans","2022-08-16","6~7",7.5864384946392
"Deans","2022-08-16","7~8",2.98694929445588
"Deans","2022-08-16","0~1",0.0605587172594185
"Deans","2022-08-16","1~2",3.47362280128001
"Deans","2022-08-16","2~3",3.3789834694539
"Deans","2022-08-16","3~4",1.66369695672903
"Deans","2022-08-16","4~5",2.05311628815853
"Deans","2022-08-16","5~6",0.706467611958533
"Deans","2022-08-16","6~7",1.61662531304362
"Deans","2022-08-16","7~8",1.98423546466952
"Deans","2022-08-16","0~1",0.816436162831379
"Deans","2022-08-16","1~2",2.81103140265392
"Deans","2022-08-16","2~3",3.75278702139113
"Deans","2022-08-16","3~4",0.587220584815952
"Deans","2022-08-16","4~5",1.8716397258736
"Deans","2022-08-16","5~6",0.47546574124103
"Deans","2022-08-16","6~7",1.80741757984936
"Deans","2022-08-16","7~8",3.33408035953972
"Deans","2022-08-16","0~1",0.387200646957097
"Deans","2022-08-16","1~2",4.91169876234795
"Deans","2022-08-16","2~3",2.99030680907701
"Deans","2022-08-16","3~4",1.33289125364503
"Deans","2022-08-16","4~5",1.83224417350724
"Deans","2022-08-16","5~6",1.31569856196535
"Deans","2022-08-16","6~7",4.44664170402398
"Deans","2022-08-16","7~8",5.90849010817702
"Deans","2022-08-16","0~1",0.483159080266936
"Deans","2022-08-16","1~2",7.16112819932937
"Deans","2022-08-16","2~3",2.21158634981422
"Deans","2022-08-16","3~4",1.539666874664
"Deans","2022-08-16","4~5",2.44476297670174
"Deans","2022-08-16","5~6",0.75342669274726
"Deans","2022-08-16","6~7",6.73309151125142
"Deans","2022-08-16","7~8",3.49550560227285
"Deans","2022-08-16","0~1",0.0866590835541067
"Deans","2022-08-16","1~2",3.21090740094626
"Deans","2022-08-16","2~3",5.21129203140651
"Deans","2022-08-16","3~4",1.87127109118808
"Deans","2022-08-16","4~5",4.55714155899542
"Deans","2022-08-16","5~6",1.18073124809364
"Deans","2022-08-16","6~7",2.988595422019
"Deans","2022-08-16","7~8",2.55459657732152
"Deans","2022-08-16","0~1",0.532245772747855
"Deans","2022-08-16","1~2",5.14621695086847
"Deans","2022-08-16","2~3",2.413992613977
"Deans","2022-08-16","3~4",1.26740937471912
"Deans","2022-08-16","4~5",1.97391546643949
"Deans","2022-08-16","5~6",1.81820361414484
"Deans","2022-08-16","6~7",2.82265454004292
"Deans","2022-08-16","7~8",3.84138649725819
"Deans","2022-08-16","0~1",0.0693744632874137
"Deans","2022-08-16","1~2",4.94147670396774
"Deans","2022-08-16","2~3",2.54853065349698
"Deans","2022-08-16","3~4",1.14800874569241
"Deans","2022-08-16","4~5",7.31697057994685
"Deans","2022-08-16","5~6",1.77271585955187
"Deans","2022-08-16","6~7",4.11196167171245
"Deans","2022-08-16","7~8",5.1132854930489
"Deans","2022-08-16","0~1",1.49730487615315
"Deans","2022-08-16","1~2",5.68024360398466
"Deans","2022-08-16","2~3",1.94569801578377
"Deans","2022-08-16","3~4",0.393850345679363
"Deans","2022-08-16","4~5",6.00818982302829
"Deans","2022-08-16","5~6",2.57759371329895
"Deans","2022-08-16","6~7",0.76491714129191
"Deans","2022-08-16","7~8",2.48337463155156
"Deans","2022-08-16","0~1",1.16014924112863
"Deans","2022-08-16","1~2",4.86039481621201
"Deans","2022-08-16","2~3",2.63531234777623
"Deans","2022-08-16","3~4",1.326777676987
"Deans","2022-08-16","4~5",1.48591384424413
"Deans","2022-08-16","5~6",1.34179186776554
"Deans","2022-08-16","6~7",10.8497862220696
"Deans","2022-08-16","7~8",2.70093521219928
"Deans","2022-08-16","0~1",0.0487711063672674
"Deans","2022-08-16","1~2",5.71923070565392
"Deans","2022-08-16","2~3",4.71089306049184
"Deans","2022-08-16","3~4",0.74056942615508
"Deans","2022-08-16","4~5",7.56531203284421
"Deans","2022-08-16","5~6",1.10427011112726
"Deans","2022-08-16","6~7",4.21752969489444
"Deans","2022-08-16","7~8",1.90714548298451
"Deans","2022-08-16","0~1",0.462012660663668
"Deans","2022-08-16","1~2",4.86303742512374
"Deans","2022-08-16","2~3",1.53404687386283
"Deans","2022-08-16","3~4",1.92145599964579
"Deans","2022-08-16","4~5",2.53168823672526
"Deans","2022-08-16","5~6",2.14082636061484
"Deans","2022-08-16","6~7",2.01106478224738
"Deans","2022-08-16","7~8",5.69729147030919
"Deans","2022-08-16","0~1",0.249306670881496
"Deans","2022-08-16","1~2",3.82499799745988
"Deans","2022-08-16","2~3",1.97025982272155
"Deans","2022-08-16","3~4",1.68361038480893
"Deans","2022-08-16","4~5",3.65612704293571
"Deans","2022-08-16","5~6",2.3941910102756
"Deans","2022-08-16","6~7",4.51790217099685
"Deans","2022-08-16","7~8",1.17400860558219
"Deans","2022-08-16","0~1",0.367139700158128
"Deans","2022-08-16","1~2",5.27764541262857
"Deans","2022-08-16","2~3",0.884463891220117
"Deans","2022-08-16","3~4",0.764216091780296
"Deans","2022-08-16","4~5",8.62030246263501
"Deans","2022-08-16","5~6",2.23083508687975
"Deans","2022-08-16","6~7",6.02484338081411
"Deans","2022-08-16","7~8",4.63903397720131
"Deans","2022-08-16","0~1",0.706094823063122
"Deans","2022-08-16","1~2",4.54901281123356
"Deans","2022-08-16","2~3",1.23780350563657
"Deans","2022-08-16","3~4",0.875834927206722
"Deans","2022-08-16","4~5",2.81971602061337
"Deans","2022-08-16","5~6",1.07734231247588
"Deans","2022-08-16","6~7",5.26906957654756
"Deans","2022-08-16","7~8",4.23466310490588
"Deans","2022-08-16","0~1",0.0508340898350374
"Deans","2022-08-16","1~2",2.87584533055158
"Deans","2022-08-16","2~3",1.47476205044128
"Deans","2022-08-16","3~4",1.71617874763585
"Deans","2022-08-16","4~5",2.0191850911561
"Deans","2022-08-16","5~6",2.00800683431233
"Deans","2022-08-16","6~7",4.85949447511048
"Deans","2022-08-16","7~8",4.97800033949824
"Deans","2022-08-16","0~1",1.25340803991751
"Deans","2022-08-16","1~2",4.81843687542523
"Deans","2022-08-16","2~3",1.7810496082033
"Deans","2022-08-16","3~4",1.30352762044576
"Deans","2022-08-16","4~5",1.82605362939469
"Deans","2022-08-16","5~6",1.37454234633836
"Deans","2022-08-16","6~7",9.35529179167198
"Deans","2022-08-16","7~8",1.79402628469647
"Deans","2022-08-16","0~1",1.03417657132781
"Deans","2022-08-16","1~2",2.81014058991893
"Deans","2022-08-16","2~3",4.40338182022144
"Deans","2022-08-16","3~4",1.52921244412008
"Deans","2022-08-16","4~5",1.22211162570107
"Deans","2022-08-16","5~6",2.03851214302731
"Deans","2022-08-16","6~7",5.50650123412722
"Deans","2022-08-16","7~8",2.94971947309558
"Deans","2022-08-16","0~1",0.0590289241364499
"Deans","2022-08-16","1~2",2.5040794818701
"Deans","2022-08-16","2~3",2.60286450544681
"Deans","2022-08-16","3~4",1.01607789907295
"Deans","2022-08-16","4~5",3.69691692895911
"Deans","2022-08-16","5~6",1.38122410058894
"Deans","2022-08-16","6~7",5.89498063401766
"Deans","2022-08-16","7~8",2.27175639562796
"Deans","2022-08-16","0~1",0.249405144880368
"Deans","2022-08-16","1~2",1.38456853892977
"Deans","2022-08-16","2~3",8.17516589867514
"Deans","2022-08-16","3~4",0.212134954869563
"Deans","2022-08-16","4~5",13.0348883433995
"Deans","2022-08-16","5~6",0.687543710649027
"Deans","2022-08-16","6~7",2.86598005795555
"Deans","2022-08-16","7~8",2.57320148853735
"Deans","2022-08-16","0~1",1.12524125200194
"Deans","2022-08-16","1~2",6.03527594146673
