"site","location","start_time","flux_ch4_mmol","flux_ch4_g","flux_co2_mmol","flux_co2_g","trip"
"Sisters3","P1B",2022-08-22 11:10:53.730,0.445223366604193,0.00714138280033126,-1.68350189222962,-0.0740909182770254,1
"Sisters3","P1E",2022-08-22 11:15:14.321,0.60163725923934,0.00965026163819901,9.00897791177036,0.396485117897014,1
"Sisters3","P2A",2022-08-22 11:19:47.021,0.371854386724022,0.00596454436305331,6.61863568186663,0.29128615635895,1
"Sisters3","P2C",2022-08-22 11:29:39.618,1.12892557726423,0.0181079662593182,-8.08568804120237,-0.355851130693316,1
"Sisters3","P2D",2022-08-22 11:36:54.233,1.35367779236212,0.0217129917894885,-9.10572608549177,-0.400743005022493,1
"Sisters3","P3B",2022-08-22 11:41:14.020,2.21163886983442,0.0354746874721441,-17.1959697967087,-0.756794630753152,1
"Sisters3","P3E",2022-08-22 11:44:10.013,0.522910981027695,0.00838749213568422,-0.0158191765849444,-0.000696201961503403,1
"Sisters3","P4A",2022-08-22 11:47:06.924,0.590722138768404,0.0094751831058452,-3.09060013197078,-0.136017311808034,1
"Sisters3","P4C",2022-08-22 11:52:43.718,-0.00727138707716912,-0.000116633048717793,-4.03966256467234,-0.17778554947123,1
"Sisters3","P4D",2022-08-22 11:56:19.724,0.475966639115106,0.0076345048914063,6.06327015118669,0.266844519353726,1
"Sisters3","P5B",2022-08-22 12:04:14.631,0.39513602715453,0.00633798187555866,-0.240106246702665,-0.0105670759173843,1
"Sisters3","P5E",2022-08-22 12:09:09.527,0.387125569698594,0.00620949413796544,3.19233966924421,0.140494868843438,1
"Sisters3","P1B",2022-08-22 13:19:58.832,0.851607078034831,0.0136597775316787,-6.77883031421503,-0.298336322128603,2
"Sisters3","P1E",2022-08-22 13:25:48.141,0.316954286887478,0.00508394676167515,-6.00080233451273,-0.264095310741905,2
"Sisters3","P2A",2022-08-22 13:28:44.835,0.340144608971535,0.00545591952790343,-2.98398545766621,-0.13132519999189,2
