"site","location","start_time","flux_ch4_mmol","flux_ch4_g","flux_co2_mmol","flux_co2_g","trip"
"Deans","D1B",2022-08-16 10:39:34.657,0.780875528085701,0.0125252434704946,92.3098286979136,4.06255556099518,1
"Deans","D1E",2022-08-16 10:44:06.133,0.404087608895129,0.00648156524667787,58.7298588587202,2.58470108837228,1
"Deans","D2A",2022-08-16 10:48:13.836,0.658722230596913,0.0105659045787745,79.1233314212228,3.48221781584801,1
"Deans","D2C",2022-08-16 10:56:56.148,0.513794368257706,0.0082412616668536,66.9654532010922,2.94714959538007,1
"Deans","D2D",2022-08-16 11:05:20.437,1.2653889796953,0.0202968392343125,162.554335041591,7.15401628518042,1
"Deans","D3B",2022-08-16 11:09:46.145,1.2142501645691,0.0194765726396884,156.033198845314,6.86702108118226,1
"Deans","D3E",2022-08-16 11:12:46.836,0.643829624821876,0.0103270271821429,69.4698887100173,3.05736980212786,1
"Deans","D4A",2022-08-16 11:15:52.838,0.242804044967166,0.00389457688127334,25.8857698639232,1.13923273171126,1
"Deans","D4C",2022-08-16 11:24:15.538,0.424165094420598,0.00680360811450639,40.7927378206235,1.79528839148564,1
"Deans","D4D",2022-08-16 11:32:13.341,1.5681561106896,0.0251532240154612,150.817165611673,6.63746345856972,1
"Deans","D5B",2022-08-16 11:36:15.345,1.58965438569887,0.0254980563466098,132.065385525141,5.81219761696146,1
"Deans","D5E",2022-08-16 11:39:58.350,0.340806227893448,0.00546653189541091,52.1949969623461,2.29710181631285,1
"Deans","D1B",2022-08-16 13:06:59.433,0.923370140417001,0.0148108570522887,82.7456843770137,3.64163756943238,2
"Deans","D1E",2022-08-16 13:10:23.119,0.392676273214918,0.00629852742236728,42.7401807494032,1.88099535478123,2
"Deans","D2A",2022-08-16 13:14:19.523,1.11542621054559,0.0178914364171513,103.405890002812,4.55089321902378,2
"Deans","D2C",2022-08-16 13:20:07.032,0.673558194681485,0.010803873442691,65.7527370770997,2.89377795876316,2
"Deans","D2D",2022-08-16 13:27:30.435,0.540025292087723,0.00866200568508708,61.540805372677,2.70841084445151,2
"Deans","D3B",2022-08-16 13:31:56.031,1.06957569872398,0.0171559942075326,128.207023705975,5.64239111329996,2
"Deans","D3E",2022-08-16 13:35:06.654,1.98664412399215,0.0318657717488341,198.546050726042,8.73801169245311,2
"Deans","D4A",2022-08-16 13:38:25.536,0.304200084461487,0.00487936935476225,30.2193517869517,1.32995367214374,2
"Deans","D4C",2022-08-16 13:45:09.737,0.414623525027163,0.00665056134143569,74.7775292842868,3.29095906380146,2
"Deans","D4D",2022-08-16 13:51:42.532,0.754745428723657,0.0121061166767275,50.4587195432565,2.22068824709872,2
"Deans","D5B",2022-08-16 13:55:19.327,3.27696558281912,0.0525625279484187,238.848196785235,10.5117091405182,2
"Deans","D5E",2022-08-16 13:58:49.238,0.408820796680566,0.00655748557875628,47.4880254048905,2.08994799806923,2
"Deans","D1B",2022-08-16 16:07:12.411,0.571911668911126,0.00917346316933446,55.7881292504178,2.45523556831089,3
"Deans","D1E",2022-08-16 16:10:46.059,0.56522825660903,0.00906626123600884,30.2920758697504,1.33315425902771,3
"Deans","D2A",2022-08-16 16:16:02.351,0.525067156759884,0.00842207719442853,29.4120693977093,1.29442517419319,3
"Deans","D2C",2022-08-16 16:33:30.677,0.387186054452265,0.00621046431341433,38.1272103497245,1.67797852749138,3
"Deans","D2D",2022-08-16 16:39:57.072,1.12291211982506,0.018011510401994,73.897444346969,3.25222652571011,3
"Deans","D3B",2022-08-16 16:46:44.466,1.15118906011651,0.0184650725242689,103.969821822895,4.57571185842562,3
"Deans","D3E",2022-08-16 16:50:00.263,0.853038625460983,0.0136827395523942,45.0733849529647,1.98367967177997,3
"Deans","D4A",2022-08-16 16:53:27.970,0.421992596127849,0.0067687612418907,35.4363760666759,1.55955491069441,3
"Deans","D4C",2022-08-16 16:59:39.567,0.762633254460736,0.0122326374015502,65.1264930192232,2.86621695777601,3
"Deans","D4D",2022-08-16 17:04:38.170,0.358585924184726,0.005751718223923,43.0192404996106,1.89327677438786,3
"Deans","D5B",2022-08-16 17:08:21.983,0.933691774215748,0.0149764160584206,41.769380508834,1.83827043619379,3
"Deans","D5E",2022-08-16 17:15:23.677,0.297187987139616,0.00476689531371944,24.3552902204961,1.07187632260403,3
"Deans","D1B",2022-08-16 19:07:42.100,1.12356301772892,0.0180219508043718,82.3210119033546,3.62294773386664,4
"Deans","D1E",2022-08-16 19:11:53.562,0.448129252375383,0.00718799320810114,47.5009645413677,2.09051744946559,4
"Deans","D2A",2022-08-16 19:15:37.151,0.314824870925627,0.00504979092964705,25.8180903598895,1.13625415673874,4
"Deans","D2C",2022-08-16 19:23:14.492,0.4637244643406,0.00743814040802322,32.7093656133907,1.43953918064532,4
"Deans","D2D",2022-08-16 19:30:05.157,0.294967584598423,0.00473128005695871,31.5622983374968,1.38905674983323,4
"Deans","D3B",2022-08-16 19:34:35.855,1.49226691987453,0.0239359613947874,102.593865485603,4.51515602002138,4
"Deans","D3E",2022-08-16 19:37:47.546,0.95648912368126,0.0153420855438474,90.5763271413688,3.98626415749164,4
"Deans","D4A",2022-08-16 19:40:29.439,0.256068797120511,0.00410734350581299,21.9548852487827,0.966234499798928,4
"Deans","D4C",2022-08-16 19:47:21.276,0.364268947161106,0.00584287391246413,26.4106942298731,1.16233465305672,4
"Deans","D4D",2022-08-16 19:55:16.253,0.702891101888696,0.0112743732742947,58.4127584972892,2.5707455014657,4
