run.start.time	trap.number	gas.vol	vial.number	emptied?	anenometer	diffusive.start	diffusive.end	top.temp	top.mmHg	top.DO.L	top.DO.mgL	top.SPC	top.C	top.pH	bottom.temp	bottom.mmHg	bottom.DO.L	bottom.DO.mgL	bottom.SPC	bottom.C	bottom.pH	macrophyte.shade	notes
3:15	C4D	3	NA	NO	0.7/0.6	16:08:57.978	16:10:25.879															part shade	
3:15	C4E	1	NA	NO																		sun	
3:15	C5A	7.5	NA	NO																		sun	
3:15	C5B	1	NA	NO	0.0/0.0	16:13:56.675	16:17:03.479															shade	
3:15	C5C	7.5	NA	NO																		shade	
3:15	C5D	5	NA	NO																		shade	
3:15	C5E	3	NA	NO	0.0/0.0	16:19:22.385	16:21:44.189															shade	
6:20	C1A	3	NA	NO																		shade	
6:20	C1B	1	NA	NO	0.4/0.6	18:25:56.057	18:26:50.866															sun	
6:20	C1C	0.5	NA	NO																		shade	
6:20	C1D	0.5	NA	NO																		shade	
6:20	C1E	0.5	NA	NO	0.0/0.0	18:28:56.558	18:30:09.364															sun	
6:20	C2A	0.2	NA	NO	0.2/0.6	18:32:41.058	18:35:09.659	31.1	747.2	120.9	8.67	62.6	69.8	8.69	28.4	747.2	104.7	7.73	61.6	65.5	8.09	shade	
6:20	C2B	0.5	NA	NO																		shade	
6:20	C2C	1.5	NA	NO	0.1/0.5	18:37:35.283	18:39:42.163	31.3	747.2	117.4	8.52	62.7	70.2	8.92	26.3	747.1	4.7	0.36	93.8	96.3	6.85	shade	
6:20	C2D	9.2	NA	NO	0.2/0.2	18:41:42.962	18:43:46.671															shade	
6:20	C2E	2.5	NA	NO																		shade	
6:20	C3A	4.5	NA	NO																		shade	
6:20	C3B	2.5	NA	NO	0.1/0.4	18:47:38.364	18:48:35.263															shade	
6:20	C3C	0.5	NA	NO																		shade	
6:20	C3D	7	NA	NO																		shade	
6:20	C3E	0	NA	NO	0.0/0.0	18:50:44.069	18:52:45.771															shade	
6:20	C4A	0.2	NA	NO	0.0/0.0	18:55:10.766	18:57:06.593	30.3	746.9	101.3	7.44	62.2	68.5	8.51	28.6	747	121.2	9.32	62.1	66.3	8.21	shade	
6:20	C4B	0.2	NA	NO																		shade	
6:20	C4C	1	NA	NO	0.0/0.0	18:59:15.564	19:00:46.565	30.3	747	114	8.28	62.4	68.8	8.66	28.1	747	91.3	7	64.3	68.1	7.84	shade	
6:20	C4D	10	NA	NO	0.0/0.0	19:02:54.377	19:04:18.358															shade	
6:20	C4E	5	NA	NO																		shade	
6:20	C5A	20.5	0148	YES																		shade	
6:20	C5B	10	NA	NO	0.1/0.4	19:09:47.058	19:11:08.868															shade	
6:20	C5C	12.5	NA	NO																		shade	
6:20	C5D	8	NA	NO																		shade	
6:20	C5E	6	NA	NO	0.0/0.0	19:13:46.669	19:16:27.395															shade	
9:20	C1A	7.5	NA	NO																		dark	
9:20	C1B	1	NA	NO	0.0/0.0	21:25:48.258	21:28:05.761															dark	
9:20	C1C	0.5	NA	NO																		dark	
9:20	C1D	0.8	NA	NO																		dark	
9:20	C1E	1.5	NA	NO	0.0/0.0	21:31:05.457	21:34:00.160															dark	
9:20	C2A	0.5	NA	NO	0.0/0.0	21:39:23.669	21:41:56.387	29.6	747.7	104.4	7.72	61.9	67.4	8.34	29.4	747.6	112.3	8.39	62.1	67.5	8.43	dark	
9:20	C2B	1	NA	NO																		dark	
9:20	C2C	5	NA	NO	0.1/0.1	21:45:02.167	21:46:52.069	29.8	747.6	98.7	7.32	62	67.7	8.52	26.8	747.7	2.8	0.17	76.4	79	6.87	dark	
9:20	C2D	0.5	NA	NO	0.0/0.0	21:48:57.791	21:50:36.666															dark	
9:20	C2E	2.8	NA	NO																		dark	
9:20	C3A	8	NA	NO																		dark	
9:20	C3B	4	NA	NO	0.0/0.0	21:53:39.573	21:56:18.271															dark	
9:20	C3C	1	NA	NO																		dark	
9:20	C3D	8	NA	NO																		dark	
9:20	C3E	0	NA	NO	0.0/0.1	22:00:10.876	22:02:26.872															dark	
9:20	C4A	0	NA	NO	0.0/0.1	22:04:28.764	22:06:17.762	29.6	747.7	98.1	7.46	62	62.4	8.07	28.6	747.7	68.3	5.22	63.1	67.4	7.55	dark	
9:20	C4B	1	NA	NO																		dark	
9:20	C4C	1.5	NA	NO	0.0/0.0	22:09:44.666	22:10:47.677	29.6	747.7	88	6.53	62.1	67.8	7.98	28.8	747.7	77.9	5.99	62.8	67	7.59	dark	
9:20	C4D	10	NA	NO	0.1/0.1	22:13:59.370	22:15:42.364															dark	
9:20	C4E	7.5	NA	NO																		dark	
9:20	C5A	0.5	NA	NO																		dark	
9:20	C5B	12.5	NA	NO	0.2/0.0	22:19:24.167	22:21:20.172															dark	
9:20	C5C	15	NA	NO																		dark	
9:20	C5D	12.5	NA	NO																		dark	
9:20	C5E	8	NA	NO	0.1/0.0	22:24:40.170	1:06:13.967															dark	
6:35	C1A	6	NA	NO																		dark	
6:35	C1B	1	NA	NO	0.1/0.1	6:40:13.171	6:41:42.871															dark	
6:35	C1C	7.5	NA	NO																		dark	
6:35	C1D	2	NA	NO																		dark	
6:35	C1E	1	NA	NO	0.1/0.0	6:46:22.464	6:47:57.267															dark	
6:35	C2A	0.5	NA	NO	0.0/0.0	6:50:29.969	6:53:31.867	28	748	87.3	6.72	61.8	65.3	7.74	27.6	748	27.2	2.1	63.2	66.3	6.99	dark	
6:35	C2B	2.5	NA	NO																		dark	
6:35	C2C	6	NA	NO	0.2/0.4	6:58:02.573	7:00:41.176	28	748	96.5	7.42	61.6	65.2	7.69	27.4	748	7.5	0.58	64	66.9	6.84	dark	
6:35	C2D	1	NA	NO	0.1/0.0	7:03:07.891	7:04:17.869															dark	
6:35	C2E	3	NA	NO																		dark	
6:35	C3A	10	NA	NO																		dark	
6:35	C3B	3	NA	NO	0.0/0.0	7:07:09.877	7:08:32.877															dark	
6:35	C3C	1.5	NA	NO																		dark	
6:35	C3D	11	NA	NO																		dark	
6:35	C3E	0	NA	NO	0.2/0.0	7:10:29.673	7:11:25.567															dark	
