"","ch4_diffusion_sim","co2_diffusion_sim","site","date","ord1","ord2","flux_round_diffusion_CH4","flux_round_diffusion_CO2","ch4_diffusion_difference","co2_diffusion_difference","ch4_ebullition_sim","flux_round_ebullition_CH4","ch4_ebullition_difference","ordeb1","ordeb2","sim_co2_eq","calc_co2_eq","co2_eq_diff"
"1",0.0130289010040443,4.02800335492899,"Deans",2022-08-16,1,1,0.0121,3.22,0.000928901004044348,0.80800335492899,0.00196826436756879,0.0232,-0.0212317356324312,"0~1","0~1",4.43292681996255,4.1731,0.259826819962544
"2",0.0157263764371166,4.15432116169608,"Deans",2022-08-16,1,2,0.0121,3.22,0.00362637643711657,0.934321161696084,0.0253244140914436,0.0232,0.00212441409144363,"0~1","1~2",5.26269250596721,4.1731,1.08959250596721
"3",0.0112631461729748,2.59769205069898,"Deans",2022-08-16,1,3,0.0121,3.22,-0.000836853827025244,-0.62230794930102,0.0132574696633384,0.0232,-0.00994253033666163,"0~1","2~3",3.25974867827943,4.1731,-0.913351321720566
"4",0.0120104071373994,2.96248432579596,"Deans",2022-08-16,1,4,0.0121,3.22,-8.95928626006067e-05,-0.257515674204043,0.00572777971446625,0.0232,-0.0174722202855338,"0~1","3~4",3.44141537079633,4.1731,-0.731684629203672
"5",0.0108241681706604,3.32455651311375,"Deans",2022-08-16,1,5,0.0121,3.22,-0.0012758318293396,0.104556513113752,0.038535022925896,0.0232,0.015335022925896,"0~1","4~5",4.65725467272078,4.1731,0.484154672720774
"6",0.0122724834681492,3.51991274972602,"Deans",2022-08-16,1,6,0.0121,3.22,0.000172483468149248,0.299912749726022,0.00605907599482945,0.0232,-0.0171409240051705,"0~1","5~6",4.01486485522645,4.1731,-0.158235144773553
"7",0.0124697136332092,3.78963911388928,"Deans",2022-08-16,1,7,0.0121,3.22,0.000369713633209172,0.569639113889282,0.0134337929474086,0.0232,-0.0097662070525914,"0~1","6~7",4.48903379156596,4.1731,0.315933791565961
"8",0.0129052932300038,4.03089256506371,"Deans",2022-08-16,1,8,0.0121,3.22,0.000805293230003779,0.81089256506371,0.00571471151093603,0.0232,-0.017485288489064,"0~1","7~8",4.53363269306908,4.1731,0.360532693069084
"9",0.0160193273374604,4.16803951285072,"Deans",2022-08-16,2,2,0.0121,3.22,0.00391932733746041,0.948039512850717,0.0437812907339599,0.0232,0.0205812907339599,"1~2","1~2",5.78265620077907,4.1731,1.60955620077906
"10",0.0114309497921865,2.43429651262551,"Deans",2022-08-16,2,3,0.0121,3.22,-0.000669050207813522,-0.785703487374488,0.0274622245150517,0.0232,0.00426222451505168,"1~2","2~3",3.48441221892094,4.1731,-0.688687781079059
"11",0.0126025490563898,2.83750163312932,"Deans",2022-08-16,2,4,0.0121,3.22,0.000502549056389823,-0.382498366870676,0.0118719335240704,0.0232,-0.0113280664759296,"1~2","3~4",3.49831266280175,4.1731,-0.674787337198251
"12",0.0115207560704605,3.24702586992563,"Deans",2022-08-16,2,5,0.0121,3.22,-0.000579243929539506,0.0270258699256258,0.0610241708186341,0.0232,0.0378241708186341,"1~2","4~5",5.20573889593118,4.1731,1.03263889593118
"13",0.0136060676023607,3.46455224064017,"Deans",2022-08-16,2,6,0.0121,3.22,0.00150606760236068,0.244552240640168,0.0146805024281358,0.0232,-0.00851949757186424,"1~2","5~6",4.22828963146357,4.1731,0.0551896314635716
"14",0.0141658942848674,3.790913799631,"Deans",2022-08-16,2,7,0.0121,3.22,0.00206589428486736,0.570913799631002,0.0271131006942165,0.0232,0.00391310069421652,"1~2","6~7",4.90544666406627,4.1731,0.732346664066267
"15",0.0152166854424528,4.15040354813411,"Deans",2022-08-16,2,8,0.0121,3.22,0.00311668544245284,0.930403548134115,0.0166119425890649,0.0232,-0.00658805741093511,"1~2","7~8",5.00977650498509,4.1731,0.836676504985093
"16",0.0107383538263134,2.17259542199633,"Deans",2022-08-16,3,3,0.0121,3.22,-0.00136164617368657,-1.04740457800367,0.0228162340671891,0.0232,-0.000383765932810923,"2~3","2~3",3.0785692951209,4.1731,-1.0945307048791
"17",0.0113828145643795,2.36972115304482,"Deans",2022-08-16,3,4,0.0121,3.22,-0.000717185435620472,-0.850278846955177,0.0117457136234594,0.0232,-0.0114542863765406,"2~3","3~4",2.99419141411647,4.1731,-1.17890858588353
"18",0.00933478818136019,2.5827200447912,"Deans",2022-08-16,3,5,0.0121,3.22,-0.00276521181863981,-0.637279955208804,0.0190094307600916,0.0232,-0.00419056923990838,"2~3","4~5",3.3480139562104,4.1731,-0.825086043789605
"19",0.0109660738254276,2.52267461222292,"Deans",2022-08-16,3,6,0.0121,3.22,-0.00113392617457241,-0.697325387777082,0.0115001177284431,0.0232,-0.0116998822715569,"2~3","5~6",3.12926178417743,4.1731,-1.04383821582257
"20",0.0108314231065051,2.64744235426736,"Deans",2022-08-16,3,7,0.0121,3.22,-0.00126857689349485,-0.572557645732642,0.02086451079351,0.0232,-0.00233548920648999,"2~3","6~7",3.50323256956777,4.1731,-0.669867430432233
"21",0.010936720305831,2.74927549592242,"Deans",2022-08-16,3,8,0.0121,3.22,-0.00116327969416902,-0.470724504077585,0.0132026506291937,0.0232,-0.00999734937080633,"2~3","7~8",3.40103851116808,4.1731,-0.77206148883192
"22",0.0114690048196118,2.39608477159962,"Deans",2022-08-16,4,4,0.0121,3.22,-0.000630995180388193,-0.823915228400377,0.0119469221220226,0.0232,-0.0112530778779774,"3~4","3~4",3.02831479902375,4.1731,-1.14478520097625
"23",0.00920480593273473,2.67275962607431,"Deans",2022-08-16,4,5,0.0121,3.22,-0.00289519406726527,-0.547240373925687,0.0443407008672806,0.0232,0.0211407008672806,"3~4","4~5",4.11848830967473,4.1731,-0.0546116903252729
"24",0.0111991349775401,2.64713278510486,"Deans",2022-08-16,4,6,0.0121,3.22,-0.000900865022459892,-0.572867214895143,0.00738242997955485,0.0232,-0.0158175700204451,"3~4","5~6",3.14883503894642,4.1731,-1.02426496105358
"25",0.0111363379283296,2.84707089031375,"Deans",2022-08-16,4,7,0.0121,3.22,-0.000963662071670391,-0.372929109686247,0.0378183877359571,0.0232,0.0146183877359571,"3~4","6~7",4.16884848324949,4.1731,-0.00425151675050639
"26",0.0114355234510148,3.10173404427681,"Deans",2022-08-16,4,8,0.0121,3.22,-0.00066447654898521,-0.118265955723194,0.0122853040040998,0.0232,-0.0109146959959002,"3~4","7~8",3.7421963855649,4.1731,-0.430903614435099
"27",0.00889859104965491,2.71017769862312,"Deans",2022-08-16,5,5,0.0121,3.22,-0.00320140895034509,-0.50982230137688,0.0488817784118174,0.0232,0.0256817784118174,"4~5","4~5",4.27024767408287,4.1731,0.0971476740828709
"28",0.0107939028494768,2.73175147035752,"Deans",2022-08-16,5,6,0.0121,3.22,-0.00130609715052324,-0.488248529642479,0.0138162623127196,0.0232,-0.00938373768728042,"4~5","5~6",3.39622592973682,4.1731,-0.776874070263178
"29",0.0103832379004113,3.01883688709937,"Deans",2022-08-16,5,7,0.0121,3.22,-0.00171676209958867,-0.201163112900631,0.0283713639551481,0.0232,0.00517136395514809,"4~5","6~7",4.06521113719947,4.1731,-0.107888862800527
"30",0.0102478469292143,3.44468480530823,"Deans",2022-08-16,5,8,0.0121,3.22,-0.00185215307078572,0.224684805308228,0.0327777482528571,0.0232,0.00957774825285707,"4~5","7~8",4.60637587522415,4.1731,0.433275875224154
"31",0.0121138617025934,2.98394777730439,"Deans",2022-08-16,6,6,0.0121,3.22,1.38617025933988e-05,-0.236052222695615,0.0139074145286491,0.0232,-0.00929258547135085,"5~6","5~6",3.68652223554793,4.1731,-0.486577764452067
"32",0.0109489709993532,3.08136518500379,"Deans",2022-08-16,6,7,0.0121,3.22,-0.00115102900064682,-0.138634814996207,0.0397346095615007,0.0232,0.0165346095615007,"5~6","6~7",4.44982186014685,4.1731,0.276721860146846
"33",0.0112991098911165,3.64354039125996,"Deans",2022-08-16,6,8,0.0121,3.22,-0.000800890108883465,0.423540391259962,0.0110940029545643,0.0232,-0.0121059970454357,"5~6","7~8",4.24815443809334,4.1731,0.0750544380933427
"34",0.010926346591748,3.13174958942784,"Deans",2022-08-16,7,7,0.0121,3.22,-0.00117365340825203,-0.0882504105721589,0.0199964611106103,0.0232,-0.0032035388893897,"6~7","6~7",3.96666539739151,4.1731,-0.206434602608486
"35",0.011301455316338,3.88823846107676,"Deans",2022-08-16,7,8,0.0121,3.22,-0.00079854468366195,0.668238461076764,0.0194613376645646,0.0232,-0.00373866233543541,"6~7","7~8",4.71883387156114,4.1731,0.545733871561135
"36",0.0113897563109391,4.06631674982953,"Deans",2022-08-16,8,8,0.0121,3.22,-0.000710243689060893,0.846316749829526,0.0238463596490385,0.0232,0.000646359649038534,"7~8","7~8",5.01769188074892,4.1731,0.844591880748921
"37",0.00822265149757445,1.91816693031228,"Deans",2022-08-30,1,1,0.0064,1.1893,0.00182265149757445,0.728866930312283,0.0238871523007376,0.038,-0.0141128476992624,"0~1","0~1",2.78513163286671,2.3881,0.397031632866708
