"","ch4_diffusion_sim","co2_diffusion_sim","ch4_ebullition_sim","site","nl","date","flux_round_diffusion_CO2","flux_round_diffusion_CH4","flux_round_ebullition_CH4","sim_co2_eq","calc_co2_eq","co2_eq_diff"
"1",0.0126556622544513,3.64539759745655,0.0161362242127285,"Deans",1,2022-08-16,3.22,0.0121,0.0232,4.4227785320704,4.1731,0.249678532070403
"2",0.00922737363069809,2.48906187879961,0.0160421483500927,"Deans",1,2022-08-16,3.22,0.0121,0.0232,3.17133897228096,4.1731,-1.00176102771904
"3",0.0126908357580676,2.32134165528773,0.0440919825973886,"Deans",1,2022-08-16,3.22,0.0121,0.0232,3.85447775088505,4.1731,-0.318622249114955
"4",0.0080527430682335,2.4822475551609,0.015340166775313,"Deans",1,2022-08-16,3.22,0.0121,0.0232,3.11385612093666,4.1731,-1.05924387906334
"5",0.0132066285622874,4.07444422114971,0.000370795586129691,"Deans",1,2022-08-16,3.22,0.0121,0.0232,4.44103467315697,4.1731,0.267934673156966
"6",0.0173010375469055,5.00494109654039,0.00782263559139726,"Deans",1,2022-08-16,3.22,0.0121,0.0232,5.68328027127456,4.1731,1.51018027127456
"7",0.0178780630668327,4.23684714701387,0.0246133293474313,"Deans",1,2022-08-16,3.22,0.0121,0.0232,5.38411474219899,4.1731,1.21101474219899
"8",-0.000382717153911083,1.38259385250881,0.0131317920857085,"Deans",1,2022-08-16,3.22,0.0121,0.0232,1.72681887566734,4.1731,-2.44628112433266
"9",0.00983048229113354,2.35890361917698,0,"Deans",1,2022-08-16,3.22,0.0121,0.0232,2.62432664103759,4.1731,-1.54877335896241
"10",0.00414179535590336,3.03204649673871,0.106301425367634,"Deans",1,2022-08-16,3.22,0.0121,0.0232,6.01401345627423,4.1731,1.84091345627423
"11",0.0246035461711281,4.33180318800718,0.0782583829608331,"Deans",1,2022-08-16,3.22,0.0121,0.0232,7.10907527457013,4.1731,2.93597527457013
"12",0.0101732076799423,2.02548564445386,0.12579391376055,"Deans",1,2022-08-16,3.22,0.0121,0.0232,5.69659792334715,4.1731,1.52349792334715
"13",0.0109415179425747,3.06722973812808,0.012193188627541,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.6918668155212,4.1731,-0.481233184478797
"14",0.0126732490062594,2.98336962637214,0.0410275508472952,"Deans",2,2022-08-16,3.22,0.0121,0.0232,4.43329122241811,4.1731,0.260191222418114
"15",0.0103542026613424,3.06382257630873,0.0154876027208454,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.7615513216278,4.1731,-0.411548678372204
"16",0.0129311454083693,3.85992090930313,0.00759972926927452,"Deans",2,2022-08-16,3.22,0.0121,0.0232,4.41425452559951,4.1731,0.24115452559951
"17",0.0149783499006784,4.32516934699847,0.0104234550482543,"Deans",2,2022-08-16,3.22,0.0121,0.0232,5.01101808061965,4.1731,0.837918080619651
"18",0.015266862660642,3.94112237223521,0.0285840114779323,"Deans",2,2022-08-16,3.22,0.0121,0.0232,5.12509597397671,4.1731,0.951995973976712
"19",0.0061364725502701,2.51399572498268,0.0127380356159064,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.02360744546944,4.1731,-1.14949255453056
"20",0.0112430722727924,3.00215060831677,0.0050896766238785,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.44313482852688,4.1731,-0.729965171473121
"21",0.00839872880517731,3.33872204709763,0.0442924749097774,"Deans",2,2022-08-16,3.22,0.0121,0.0232,4.76138454740141,4.1731,0.588284547401408
"22",0.0186296042127897,3.98860039273186,0.0519635672583624,"Deans",2,2022-08-16,3.22,0.0121,0.0232,5.89461602245297,4.1731,1.72151602245297
"23",0.0114144349671968,2.83544162095521,0.0886489233896867,"Deans",2,2022-08-16,3.22,0.0121,0.0232,5.53715229659106,4.1731,1.36405229659106
"24",0.0109591046943828,2.40520176704367,0.0444405251199247,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.90099177202997,4.1731,-0.272108227970028
"25",0.00864005834946579,2.48565471698026,0.0137483130585974,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.09014074499796,4.1731,-1.08295925500204
"26",0.0112170010964927,3.28175304997466,0.00948300398298974,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.84065318712068,4.1731,-0.332446812879317
"27",0.0132642055888018,3.74700148767,0.00943998650685821,"Deans",2,2022-08-16,3.22,0.0121,0.0232,4.36001467425282,4.1731,0.186914674252819
"28",0.0135527183487654,3.36295451290674,0.0227627491836257,"Deans",2,2022-08-16,3.22,0.0121,0.0232,4.3434721362813,4.1731,0.170372136281298
"29",0.0044223282383935,1.93582786565421,0.0141848927985263,"Deans",2,2022-08-16,3.22,0.0121,0.0232,2.43822283365104,4.1731,-1.73487716634896
"30",0.00952892796091582,2.4239827489883,0.00713411428931301,"Deans",2,2022-08-16,3.22,0.0121,0.0232,2.87388488974447,4.1731,-1.29921511025553
"31",0.00668458449330072,2.76055418776916,0.0380665654572379,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.9688352364337,4.1731,-0.204264763566298
"32",0.0169154599009131,3.41043253340339,0.043972410480403,"Deans",2,2022-08-16,3.22,0.0121,0.0232,5.05440503369893,4.1731,0.881305033698928
"33",0.0097002906553202,2.25727376162674,0.0803632165952577,"Deans",2,2022-08-16,3.22,0.0121,0.0232,4.68898845739234,4.1731,0.515888457392339
"34",0.0103717894131505,2.40179460522432,0.0305981242400094,"Deans",2,2022-08-16,3.22,0.0121,0.0232,3.50798227385964,4.1731,-0.665117726140365
