"change_diff_eb","site","date","nl"
0.00858627809211178,"Deans",2022-08-16,1
0.00011239556903273,"Deans",2022-08-16,1
0.0168444723802365,"Deans",2022-08-16,1
0.00946784317715811,"Deans",2022-08-16,1
0.0237585804575217,"Deans",2022-08-16,1
0.010928507194043,"Deans",2022-08-16,1
0.0169273786817586,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0185618486685257,"Deans",2022-08-16,1
0.00671556022592321,"Deans",2022-08-16,1
0.038156597426537,"Deans",2022-08-16,1
0.0903512620865286,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0123259793893921,"Deans",2022-08-16,1
0.0272954834415237,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0186859478624307,"Deans",2022-08-16,1
0.0235923043405048,"Deans",2022-08-16,1
0.0318872145391449,"Deans",2022-08-16,1
0.020299482403944,"Deans",2022-08-16,1
0.0389475533230782,"Deans",2022-08-16,1
0.00261075797029277,"Deans",2022-08-16,1
0.0195039662463613,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00507065810172409,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0483726502478635,"Deans",2022-08-16,1
0.10105553509756,"Deans",2022-08-16,1
0.00317032876663217,"Deans",2022-08-16,1
0.0247943478761956,"Deans",2022-08-16,1
0.0322406973179094,"Deans",2022-08-16,1
0.0209810715997949,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0307886207679942,"Deans",2022-08-16,1
0.0259972419842914,"Deans",2022-08-16,1
0.00138928057796835,"Deans",2022-08-16,1
0.018447165093778,"Deans",2022-08-16,1
0.0239139263244981,"Deans",2022-08-16,1
0.0174802636497436,"Deans",2022-08-16,1
0.00891602612008444,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.000656728681461427,"Deans",2022-08-16,1
0.0325591282220507,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0011203268603854,"Deans",2022-08-16,1
0.0272909909793275,"Deans",2022-08-16,1
0.00893806113131182,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0171288626052129,"Deans",2022-08-16,1
0.00557306529873602,"Deans",2022-08-16,1
0.00173710925391728,"Deans",2022-08-16,1
0.255761898313303,"Deans",2022-08-16,1
0.000656728681461427,"Deans",2022-08-16,1
0.0349789302643203,"Deans",2022-08-16,1
0.000716717180831795,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0276105221767443,"Deans",2022-08-16,1
0.00666978869460705,"Deans",2022-08-16,1
0.00884870768312287,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0180866216886795,"Deans",2022-08-16,1
0.0169807342440414,"Deans",2022-08-16,1
0.0106850515059256,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00145879260510159,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00130389337888224,"Deans",2022-08-16,1
0.0103272200065833,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00952309292806503,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00957120978532308,"Deans",2022-08-16,1
0.0359754927047725,"Deans",2022-08-16,1
0.0120890245024911,"Deans",2022-08-16,1
0.0718285165319992,"Deans",2022-08-16,1
0.0261060639599853,"Deans",2022-08-16,1
0.0070060151352508,"Deans",2022-08-16,1
0.0187378119768834,"Deans",2022-08-16,1
0.109978917070966,"Deans",2022-08-16,1
0.0629408493539982,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0341876810263167,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00654608351697988,"Deans",2022-08-16,1
0.00429915440335331,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0309066835288137,"Deans",2022-08-16,1
0.00535504201408373,"Deans",2022-08-16,1
0.0318542498635957,"Deans",2022-08-16,1
0.0246745788721577,"Deans",2022-08-16,1
0.00139530193100183,"Deans",2022-08-16,1
0.022457207417753,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00737554404181208,"Deans",2022-08-16,1
0.00770263310070713,"Deans",2022-08-16,1
0.00755134850334824,"Deans",2022-08-16,2
0.00986150980828688,"Deans",2022-08-16,2
0,"Deans",2022-08-16,2
0.00649176141239803,"Deans",2022-08-16,2
0.0279523230955332,"Deans",2022-08-16,2
0.00248958349141145,"Deans",2022-08-16,2
0.0113884495949187,"Deans",2022-08-16,2
0.0166316610965113,"Deans",2022-08-16,2
0.0290016422643795,"Deans",2022-08-16,2
0.0103239974840534,"Deans",2022-08-16,2
0.022694295700295,"Deans",2022-08-16,2
0.0098348133524264,"Deans",2022-08-16,2
0.0101293196668595,"Deans",2022-08-16,2
0.0186422899899657,"Deans",2022-08-16,2
0.0243611145397299,"Deans",2022-08-16,2
0,"Deans",2022-08-16,2
0.0115341204574549,"Deans",2022-08-16,2
0.00413533744373802,"Deans",2022-08-16,2
0.0590341743095546,"Deans",2022-08-16,2
0.0225991389453269,"Deans",2022-08-16,2
0.0152104413999889,"Deans",2022-08-16,2
0.0151787242424158,"Deans",2022-08-16,2
0.0151768369103026,"Deans",2022-08-16,2
0.00702977378307369,"Deans",2022-08-16,2
5.61977845163649e-05,"Deans",2022-08-16,2
0.017616299066147,"Deans",2022-08-16,2
0.02303571027265,"Deans",2022-08-16,2
0.0130956877319122,"Deans",2022-08-16,2
0.00605994555884651,"Deans",2022-08-16,2
0.00341340259448072,"Deans",2022-08-16,2
0.00546709880469669,"Deans",2022-08-16,2
0.000651946689441118,"Deans",2022-08-16,2
0.00555736048887305,"Deans",2022-08-16,2
0.00872192623396519,"Deans",2022-08-16,2
0.0443181081339903,"Deans",2022-08-16,2
0.0394090354369283,"Deans",2022-08-16,2
0.0418243285762995,"Deans",2022-08-16,2
0.000697650965500916,"Deans",2022-08-16,2
0.0185117002119227,"Deans",2022-08-16,2
0.0215921882805797,"Deans",2022-08-16,2
0.0138164001770331,"Deans",2022-08-16,2
0.00655265147722536,"Deans",2022-08-16,2
0.00403167279517243,"Deans",2022-08-16,2
0.0445679101345744,"Deans",2022-08-16,2
0.0170343464810724,"Deans",2022-08-16,2
0.00700231918544074,"Deans",2022-08-16,2
0.0308234521234066,"Deans",2022-08-16,2
0.00913582496511839,"Deans",2022-08-16,2
0.01426449183188,"Deans",2022-08-16,2
0.0149104725814686,"Deans",2022-08-16,2
0.0221298077941854,"Deans",2022-08-16,2
0.00707721861060275,"Deans",2022-08-16,2
0.0338158569207831,"Deans",2022-08-16,2
0.0191604644218609,"Deans",2022-08-16,2
0.0152560252074445,"Deans",2022-08-16,2
0.0619116556286217,"Deans",2022-08-16,2
0.00593083914069279,"Deans",2022-08-16,2
0.00238158221636967,"Deans",2022-08-16,2
0.0103817053174198,"Deans",2022-08-16,2
0.00805098897800323,"Deans",2022-08-16,2
0.00929359705958912,"Deans",2022-08-16,2
0.00856104931444216,"Deans",2022-08-16,2
0.00879298694245401,"Deans",2022-08-16,2
0.0360981969857115,"Deans",2022-08-16,2
0.0169102887276127,"Deans",2022-08-16,2
0,"Deans",2022-08-16,2
0.154615897694154,"Deans",2022-08-16,2
0.110740613626404,"Deans",2022-08-16,2
0.0179811077483704,"Deans",2022-08-16,2
0.00793824431371932,"Deans",2022-08-16,2
0.0341279315105297,"Deans",2022-08-16,2
0.00983134868496179,"Deans",2022-08-16,2
0.00983561394763167,"Deans",2022-08-16,2
0.0149239710140156,"Deans",2022-08-16,2
0.00389889372654335,"Deans",2022-08-16,2
0.000560163430192702,"Deans",2022-08-16,2
0.0150760897455472,"Deans",2022-08-16,2
0.0134907490021316,"Deans",2022-08-16,2
0.0156454913435468,"Deans",2022-08-16,2
0.0112367807151485,"Deans",2022-08-16,2
0.0181617828687185,"Deans",2022-08-16,2
0.0828872092514061,"Deans",2022-08-16,2
0.0238603498931368,"Deans",2022-08-16,2
0.00412970422692924,"Deans",2022-08-16,2
0.0155886682286905,"Deans",2022-08-16,2
0.0244321397673178,"Deans",2022-08-16,2
0.00578641448149919,"Deans",2022-08-16,2
0.00820340518892905,"Deans",2022-08-16,2
