Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	EOF	
2022-06-21 00:42:22	68.21	 	 	 	 	
2022-06-21 00:42:23	68.29	 	 	 	 	
2022-06-21 00:42:24	68.21	 	 	 	 	
2022-06-21 00:42:25	68.21	 	 	 	 	
2022-06-21 00:42:26	68.29	 	 	 	 	
2022-06-21 00:42:27	68.29	 	 	 	 	
2022-06-21 00:42:28	68.21	 	 	 	 	
2022-06-21 00:42:29	68.21	 	 	 	 	
2022-06-21 00:42:30	68.13	 	 	 	 	
2022-06-21 00:42:31	68.21	 	 	 	 	
2022-06-21 00:42:32	68.29	 	 	 	 	
2022-06-21 00:42:33	68.29	 	 	 	 	
2022-06-21 00:42:34	68.21	 	 	 	 	
2022-06-21 00:42:35	68.29	 	 	 	 	
2022-06-21 00:42:36	68.29	 	 	 	 	
2022-06-21 00:42:37	68.29	 	 	 	 	
2022-06-21 00:42:38	68.29	 	 	 	 	
2022-06-21 00:42:39	68.21	 	 	 	 	
2022-06-21 00:42:40	68.29	 	 	 	 	
2022-06-21 00:42:41	68.29	 	 	 	 	
2022-06-21 00:42:42	68.29	 	 	 	 	
2022-06-21 00:42:43	68.29	 	 	 	 	
2022-06-21 00:42:44	68.29	 	 	 	 	
2022-06-21 00:42:45	68.21	 	 	 	 	
2022-06-21 00:42:46	68.21	 	 	 	 	
2022-06-21 00:42:47	68.29	 	 	 	 	
2022-06-21 00:42:48	68.21	 	 	 	 	
2022-06-21 00:42:49	68.29	 	 	 	 	
2022-06-21 00:42:50	68.29	 	 	 	 	
2022-06-21 00:42:51	68.21	 	 	 	 	
2022-06-21 00:42:52	68.29	 	 	 	 	
2022-06-21 00:42:53	68.29	 	 	 	 	
2022-06-21 00:42:54	68.29	 	 	 	 	
2022-06-21 00:42:55	68.21	 	 	 	 	
2022-06-21 00:42:56	68.21	 	 	 	 	
2022-06-21 00:42:57	68.21	 	 	 	 	
2022-06-21 00:42:58	68.29	 	 	 	 	
2022-06-21 00:42:59	68.21	 	 	 	 	
2022-06-21 00:43:00	68.21	 	 	 	 	
2022-06-21 00:43:01	68.29	 	 	 	 	
2022-06-21 00:43:02	68.29	 	 	 	 	
2022-06-21 00:43:03	68.29	 	 	 	 	
2022-06-21 00:43:04	68.21	 	 	 	 	
2022-06-21 00:43:05	68.29	 	 	 	 	
2022-06-21 00:43:06	68.29	 	 	 	 	
2022-06-21 00:43:07	68.21	 	 	 	 	
2022-06-21 00:43:08	68.29	 	 	 	 	
2022-06-21 00:43:09	68.21	 	 	 	 	
2022-06-21 00:43:10	68.29	 	 	 	 	
2022-06-21 00:43:11	68.29	 	 	 	 	
2022-06-21 00:43:12	68.21	 	 	 	 	
2022-06-21 00:43:13	68.21	 	 	 	 	
2022-06-21 00:43:14	68.29	 	 	 	 	
2022-06-21 00:43:15	68.21	 	 	 	 	
2022-06-21 00:43:16	68.37	 	 	 	 	
2022-06-21 00:43:17	68.29	 	 	 	 	
2022-06-21 00:43:18	68.21	 	 	 	 	
2022-06-21 00:43:19	68.29	 	 	 	 	
2022-06-21 00:43:20	68.29	 	 	 	 	
